,date_time,consumption,max_demand,min_demand,avg_demand,temp,humidity
0,01/01/2018 12:15:00 AM,430,1720,1720,1720,,
1,01/01/2018 12:30:00 AM,420,1700,1700,1700,,
2,01/01/2018 12:45:00 AM,440,1720,1720,1720,,
3,01/01/2018 01:00:00 AM,420,1720,1720,1720,9.0,56.1
4,01/01/2018 01:15:00 AM,420,1680,1680,1680,,
5,01/01/2018 01:30:00 AM,440,1720,1720,1720,,
6,01/01/2018 01:45:00 AM,420,1720,1720,1720,,
7,01/01/2018 02:00:00 AM,430,1700,1700,1700,8.9,56.2
8,01/01/2018 02:15:00 AM,430,1720,1720,1720,,
9,01/01/2018 02:30:00 AM,430,1720,1720,1720,,
10,01/01/2018 02:45:00 AM,430,1720,1720,1720,,
11,01/01/2018 03:00:00 AM,420,1700,1700,1700,8.5,57.0
12,01/01/2018 03:15:00 AM,410,1660,1660,1660,,
13,01/01/2018 03:30:00 AM,430,1680,1680,1680,,
14,01/01/2018 03:45:00 AM,420,1700,1700,1700,,
15,01/01/2018 04:00:00 AM,410,1660,1660,1660,8.1,56.5
16,01/01/2018 04:15:00 AM,410,1640,1640,1640,,
17,01/01/2018 04:30:00 AM,430,1680,1680,1680,,
18,01/01/2018 04:45:00 AM,420,1700,1700,1700,,
19,01/01/2018 05:00:00 AM,430,1700,1700,1700,8.0,57.6
20,01/01/2018 05:15:00 AM,420,1700,1700,1700,,
21,01/01/2018 05:30:00 AM,420,1680,1680,1680,,
22,01/01/2018 05:45:00 AM,420,1680,1680,1680,,
23,01/01/2018 06:00:00 AM,430,1700,1700,1700,7.4,57.6
24,01/01/2018 06:15:00 AM,430,1720,1720,1720,,
25,01/01/2018 06:30:00 AM,430,1720,1720,1720,,
26,01/01/2018 06:45:00 AM,430,1720,1720,1720,,
27,01/01/2018 07:00:00 AM,440,1740,1740,1740,7.4,58.2
28,01/01/2018 07:15:00 AM,450,1780,1780,1780,,
29,01/01/2018 07:30:00 AM,450,1800,1800,1800,,
30,01/01/2018 07:45:00 AM,440,1780,1780,1780,,
31,01/01/2018 08:00:00 AM,440,1760,1760,1760,8.1,59.3
32,01/01/2018 08:15:00 AM,440,1760,1760,1760,,
33,01/01/2018 08:30:00 AM,460,1800,1800,1800,,
34,01/01/2018 08:45:00 AM,430,1780,1780,1780,,
35,01/01/2018 09:00:00 AM,450,1760,1760,1760,9.4,58.5
36,01/01/2018 09:15:00 AM,450,1800,1800,1800,,
37,01/01/2018 09:30:00 AM,450,1800,1800,1800,,
38,01/01/2018 09:45:00 AM,440,1780,1780,1780,,
39,01/01/2018 10:00:00 AM,440,1760,1760,1760,11.7,53.4
40,01/01/2018 10:15:00 AM,460,1800,1800,1800,,
41,01/01/2018 10:30:00 AM,440,1800,1800,1800,,
42,01/01/2018 10:45:00 AM,450,1780,1780,1780,,
43,01/01/2018 11:00:00 AM,450,1800,1800,1800,13.7,47.2
44,01/01/2018 11:15:00 AM,440,1780,1780,1780,,
45,01/01/2018 11:30:00 AM,460,1800,1800,1800,,
46,01/01/2018 11:45:00 AM,450,1820,1820,1820,,
47,01/01/2018 12:00:00 PM,450,1800,1800,1800,15.2,43.8
48,01/01/2018 12:15:00 PM,460,1820,1820,1820,,
49,01/01/2018 12:30:00 PM,460,1840,1840,1840,,
50,01/01/2018 12:45:00 PM,460,1840,1840,1840,,
51,01/01/2018 01:00:00 PM,450,1820,1820,1820,16.6,39.4
52,01/01/2018 01:15:00 PM,450,1800,1800,1800,,
53,01/01/2018 01:30:00 PM,450,1800,1800,1800,,
54,01/01/2018 01:45:00 PM,450,1800,1800,1800,,
55,01/01/2018 02:00:00 PM,460,1820,1820,1820,17.9,37.5
56,01/01/2018 02:15:00 PM,440,1800,1800,1800,,
57,01/01/2018 02:30:00 PM,450,1780,1780,1780,,
58,01/01/2018 02:45:00 PM,450,1800,1800,1800,,
59,01/01/2018 03:00:00 PM,440,1780,1780,1780,18.8,35.7
60,01/01/2018 03:15:00 PM,460,1800,1800,1800,,
61,01/01/2018 03:30:00 PM,440,1800,1800,1800,,
62,01/01/2018 03:45:00 PM,440,1760,1760,1760,,
63,01/01/2018 04:00:00 PM,460,1800,1800,1800,18.6,35.2
64,01/01/2018 04:15:00 PM,450,1820,1820,1820,,
65,01/01/2018 04:30:00 PM,450,1800,1800,1800,,
66,01/01/2018 04:45:00 PM,440,1780,1780,1780,,
67,01/01/2018 05:00:00 PM,450,1780,1780,1780,18.2,36.3
68,01/01/2018 05:15:00 PM,450,1800,1800,1800,,
69,01/01/2018 05:30:00 PM,440,1780,1780,1780,,
70,01/01/2018 05:45:00 PM,450,1780,1780,1780,,
71,01/01/2018 06:00:00 PM,450,1800,1800,1800,18.0,36.9
72,01/01/2018 06:15:00 PM,440,1780,1780,1780,,
73,01/01/2018 06:30:00 PM,440,1760,1760,1760,,
74,01/01/2018 06:45:00 PM,440,1760,1760,1760,,
75,01/01/2018 07:00:00 PM,440,1760,1760,1760,17.1,40.1
76,01/01/2018 07:15:00 PM,440,1760,1760,1760,,
77,01/01/2018 07:30:00 PM,420,1720,1720,1720,,
78,01/01/2018 07:45:00 PM,440,1720,1720,1720,,
79,01/01/2018 08:00:00 PM,420,1720,1720,1720,17.1,41.1
80,01/01/2018 08:15:00 PM,360,1560,1560,1560,,
81,01/01/2018 08:30:00 PM,360,1440,1440,1440,,
82,01/01/2018 08:45:00 PM,360,1440,1440,1440,,
83,01/01/2018 09:00:00 PM,360,1440,1440,1440,17.1,44.4
84,01/01/2018 09:15:00 PM,360,1440,1440,1440,,
85,01/01/2018 09:30:00 PM,350,1420,1420,1420,,
86,01/01/2018 09:45:00 PM,350,1400,1400,1400,,
87,01/01/2018 10:00:00 PM,360,1420,1420,1420,16.8,49.7
88,01/01/2018 10:15:00 PM,370,1460,1460,1460,,
89,01/01/2018 10:30:00 PM,350,1440,1440,1440,,
90,01/01/2018 10:45:00 PM,360,1420,1420,1420,,
91,01/01/2018 11:00:00 PM,360,1440,1440,1440,15.9,55.7
92,01/01/2018 11:15:00 PM,390,1500,1500,1500,,
93,01/01/2018 11:30:00 PM,390,1560,1560,1560,,
94,01/01/2018 11:45:00 PM,380,1540,1540,1540,,
95,01/02/2018 12:00:00 AM,380,1520,1520,1520,15.2,58.6
96,01/02/2018 12:15:00 AM,380,1520,1520,1520,,
97,01/02/2018 12:30:00 AM,400,1560,1560,1560,,
98,01/02/2018 12:45:00 AM,380,1560,1560,1560,,
