,date,entries
0,2020-02-10,1900.0
1,2020-03-09,1743.0
2,2020-03-10,1607.0
3,2020-03-11,1573.0
4,2020-03-12,1259.0
5,2020-03-13,704.0
6,2020-03-16,430.0
7,2020-03-17,248.0
8,2020-03-18,170.0
9,2020-03-19,165.0
10,2020-03-20,156.0
11,2020-03-23,36.0
12,2020-03-24,49.0
13,2020-03-25,37.0
14,2020-03-26,41.0
15,2020-03-27,46.0
16,2020-03-30,38.0
17,2020-03-31,41.0
18,2020-04-01,45.0
19,2020-04-02,44.0
20,2020-04-03,44.0
21,2020-04-06,41.0
22,2020-04-07,44.0
23,2020-04-08,33.0
24,2020-04-09,37.0
25,2020-04-10,28.0
26,2020-04-13,35.0
27,2020-04-14,43.0
28,2020-04-15,31.0
29,2020-04-16,39.0
30,2020-04-17,38.0
31,2020-04-20,39.0
32,2020-04-21,44.0
33,2020-04-22,49.0
34,2020-04-23,40.0
35,2020-04-24,41.0
36,2020-04-27,43.0
37,2020-04-28,50.0
38,2020-04-29,44.0
39,2020-04-30,41.0
40,2020-05-01,45.0
41,2020-05-04,45.0
42,2020-05-05,44.0
43,2020-05-06,46.0
44,2020-05-07,56.0
45,2020-05-08,50.0
46,2020-05-11,54.0
47,2020-05-12,54.0
48,2020-05-13,47.0
49,2020-05-14,47.0
50,2020-05-15,51.0
51,2020-05-18,43.0
52,2020-05-19,52.0
53,2020-05-20,66.0
54,2020-05-21,55.0
55,2020-05-22,54.0
56,2020-05-25,6.0
57,2020-05-26,67.0
58,2020-05-27,69.0
59,2020-05-28,52.0
60,2020-05-29,53.0
61,2020-06-01,53.0
62,2020-06-02,77.0
63,2020-06-03,65.0
64,2020-06-04,57.0
65,2020-06-05,72.0
66,2020-06-08,84.0
67,2020-06-09,99.0
68,2020-06-10,100.0
69,2020-06-11,100.0
70,2020-06-12,83.0
71,2020-06-15,105.0
72,2020-06-16,124.0
73,2020-06-17,110.0
74,2020-06-18,98.0
75,2020-06-19,112.0
76,2020-06-22,138.0
77,2020-06-23,163.0
78,2020-06-24,143.0
79,2020-06-25,139.0
80,2020-06-26,103.0
81,2020-06-29,169.0
82,2020-06-30,179.0
83,2020-07-01,154.0
84,2020-07-02,149.0
85,2020-07-03,
86,2020-07-06,184.0
87,2020-07-07,233.0
88,2020-07-08,238.0
89,2020-07-09,223.0
90,2020-07-10,160.0
91,2020-07-13,239.0
92,2020-07-14,240.0
93,2020-07-15,235.0
94,2020-07-16,201.0
95,2020-07-17,155.0
96,2020-07-20,206.0
97,2020-07-21,229.0
98,2020-07-22,224.0
99,2020-07-23,191.0
100,2020-07-24,134.0
101,2020-07-27,216.0
102,2020-07-28,262.0
103,2020-07-29,263.0
104,2020-07-30,226.0
105,2020-07-31,127.0
106,2020-08-03,226.0
107,2020-08-04,183.0
108,2020-08-05,241.0
109,2020-08-06,224.0
110,2020-08-07,170.0
111,2020-08-10,253.0
112,2020-08-11,238.0
113,2020-08-12,296.0
114,2020-08-13,205.0
115,2020-08-14,164.0
116,2020-08-17,272.0
117,2020-08-18,259.0
118,2020-08-19,255.0
119,2020-08-20,223.0
120,2020-08-21,152.0
121,2020-08-24,250.0
122,2020-08-25,244.0
123,2020-08-26,270.0
124,2020-08-27,206.0
125,2020-08-28,169.0
126,2020-08-31,234.0
127,2020-09-01,
